name,symbol,crypto_rank,price,market_cap,volume_24h,change_24h,last_updated
Bitcoin,BTC,1,74644.48239529798,1493116791065.8884,53773515963.85067,1.73693617,2026-03-17
Ethereum,ETH,2,2350.5011644909273,283686348601.775,33180438606.108986,3.13225875,2026-03-17
Tether USDt,USDT,3,1.0001046567258292,184090168684.79904,109776889175.75356,-0.00065772,2026-03-17
XRP,XRP,4,1.5173717972562655,92905386172.83148,5211424143.225572,1.12701036,2026-03-17
BNB,BNB,5,671.7148918773285,91593597596.1456,2129069671.9073822,-0.37243269,2026-03-17
USDC,USDC,6,0.9998498162140856,79563016073.58516,13894630725.988346,-0.00745418,2026-03-17
Solana,SOL,7,94.94282023601389,54258400427.774864,5315230332.956253,1.64450685,2026-03-17
TRON,TRX,8,0.30487411175353724,28887050385.050587,632469403.1379731,2.38730466,2026-03-17
Dogecoin,DOGE,9,0.10021709185660203,15378063844.593233,1791191460.3381233,-2.36741203,2026-03-17
Hyperliquid,HYPE,10,40.53152407087604,10418920109.77587,490642147.54878724,4.78612637,2026-03-17
Cardano,ADA,11,0.28849548531714336,10412014325.907825,753160115.3848321,1.07736814,2026-03-17
Bitcoin Cash,BCH,12,476.7757609926418,9539588672.760817,304326891.8658285,0.00369919,2026-03-17
UNUS SED LEO,LEO,13,9.057735339845316,8343038327.869977,1231368.34178082,0.56428437,2026-03-17
Chainlink,LINK,14,9.910912770788393,7017917040.153424,913609440.3088951,2.21034108,2026-03-17
Monero,XMR,15,370.65427257702623,6837364506.055384,104169388.30058946,2.05937271,2026-03-17
Ethena USDe,USDe,16,1.0001333422086984,5922108900.963422,92159794.82053073,0.02792366,2026-03-17
Canton,CC,17,0.15146900007687084,5765020049.108661,12963711.42818718,-2.08220398,2026-03-17
Stellar,XLM,18,0.17414763140028333,5745235303.209827,180927854.86565188,-0.12414248,2026-03-17
Dai,DAI,19,0.9999327980508183,5365022138.489147,248774578.92587593,-0.00294985,2026-03-17
World Liberty Financial USD,USD1,20,0.9993604424606245,4526063831.118636,1804201933.5868342,0.03156993,2026-03-17
Litecoin,LTC,21,58.20423930601397,4479353627.928309,428387330.9478112,0.02851884,2026-03-17
Zcash,ZEC,22,268.8539527945048,4458590115.218169,782665526.8259579,16.03732783,2026-03-17
Avalanche,AVAX,23,10.310129510510532,4451624838.74418,442618043.1855879,1.81206131,2026-03-17
Hedera,HBAR,24,0.09955666334844357,4311144162.607548,139058235.98142302,0.50187653,2026-03-17
PayPal USD,PYUSD,25,0.9997006315546757,4089775003.0553336,163213773.3586053,0.00220747,2026-03-17
Sui,SUI,26,1.0300222063227007,4017070833.3864255,712292069.0084996,-1.59541555,2026-03-17
Shiba Inu,SHIB,27,6.0366110045319245e-06,3557034707.715527,146106743.594623,-1.86624277,2026-03-17
Toncoin,TON,28,1.3492994847845714,3315735674.868547,114371169.41037385,1.09053145,2026-03-17
Cronos,CRO,29,0.07997786110208022,3287968736.4468045,13328101.61382684,0.42272042,2026-03-17
Bittensor,TAO,30,274.548871873443,2958448662.793322,437853224.4697786,-5.32695178,2026-03-17
World Liberty Financial,WLFI,31,0.10324827961251029,2856039157.597834,82889356.89367817,-2.11919252,2026-03-17
Tether Gold,XAUt,32,4976.30161193881,2809613130.7503624,389479847.318797,0.32110521,2026-03-17
Mantle,MNT,33,0.8466312504505887,2775209874.646229,63891739.00391929,2.25411346,2026-03-17
Polkadot,DOT,34,1.5988239568175848,2676325657.876768,278699037.8299482,1.63269851,2026-03-17
Uniswap,UNI,35,3.9903507181605553,2527749763.2355976,325846499.12120444,-2.91009518,2026-03-17
PAX Gold,PAXG,36,5008.469328599823,2509996377.3647165,259110339.68258137,0.37873997,2026-03-17
MemeCore,M,37,1.7340746472547095,2219226798.551513,11373128.82476893,8.96438024,2026-03-17
OKB,OKB,38,95.8292041555758,2012413287.2670918,62166824.14319603,-1.52606076,2026-03-17
Aster,ASTER,39,0.7634853682254531,1890915693.8765686,302093982.52266085,5.82089488,2026-03-17
NEAR Protocol,NEAR,40,1.457932052018875,1881345006.6009083,307762895.6063308,3.40554694,2026-03-17
Aave,AAVE,41,121.81596486368205,1872917425.8565278,490931530.6713354,1.08493403,2026-03-17
Global Dollar,USDG,42,1.000066210934233,1761735304.8286574,35011031.41893233,0.01268616,2026-03-17
Pi,PI,43,0.17840570201093203,1735861507.1479933,41789840.49683287,-9.02305627,2026-03-17
Sky,SKY,44,0.07460006740451447,1721244173.6228194,42004754.21819437,-2.86525422,2026-03-17
Ripple USD,RLUSD,45,0.999841988056389,1549326556.337479,222861938.95560467,-0.00125329,2026-03-17
Pepe,PEPE,46,3.6960974342047726e-06,1529343462.5164714,676007912.3524274,-7.70576339,2026-03-17
Bitget Token,BGB,47,2.1898891998146017,1528933330.6441655,11947208.9325361,-0.35219744,2026-03-17
Internet Computer,ICP,48,2.719050880465705,1496871854.2977135,103699008.0599239,1.6831273,2026-03-17
Ethereum Classic,ETC,49,8.886469594132299,1385717958.429786,74367310.92168188,-0.47819233,2026-03-17
Ondo,ONDO,50,0.28151973745014625,1370812685.3013906,64378451.51812121,0.04003082,2026-03-17
Worldcoin,WLD,51,0.3914163706610798,1146889552.7435584,181664538.52678338,1.58224926,2026-03-17
KuCoin Token,KCS,52,8.518434435284112,1125753887.9479754,2736716.34639925,1.0953484,2026-03-17
USDD,USDD,53,1.0001530358340496,1093447980.1190307,4192237.05176613,-0.01759295,2026-03-17
Polygon (prev. MATIC),POL,54,0.10040507411047572,1065238312.1494392,68969697.98394261,0.04380074,2026-03-17
United Stables,U,55,0.9996883505589225,1004586796.5335277,42890718.20198385,-0.01675972,2026-03-17
Ethena,ENA,56,0.11700214126206315,993604121.4989269,115945424.7567571,-0.00720204,2026-03-17
Kaspa,KAS,57,0.036102965008869246,985194509.5462176,33672198.18343844,8.15060641,2026-03-17
Cosmos,ATOM,58,1.9437785019846163,968474304.2933115,61542816.76302251,1.8522785,2026-03-17
Render,RENDER,59,1.8093817799704388,938604604.9613154,98636838.09688202,-2.12948069,2026-03-17
OFFICIAL TRUMP,TRUMP,60,3.7184893764548037,864541239.0539786,285186120.46052635,-3.13315612,2026-03-17
Midnight,NIGHT,61,0.05135774366334484,852918561.3513447,116649779.33182989,1.49027216,2026-03-17
Algorand,ALGO,62,0.09511284568362767,845619397.9049181,45637506.08199435,0.18783407,2026-03-17
GateToken,GT,63,7.2658739809047965,836887528.8214017,2525157.81730285,-0.67035836,2026-03-17
Quant,QNT,64,68.98149653022912,832795534.4573653,10776800.85514245,0.78357549,2026-03-17
Aptos,APT,65,0.996579432203353,790696150.7220051,96358550.07138065,0.35855152,2026-03-17
Flare,FLR,66,0.008794597402401459,749680437.6491705,5924914.43898725,-0.15918943,2026-03-17
Filecoin,FIL,67,0.9652022229302831,735651598.927452,172265378.7423018,3.51110172,2026-03-17
Morpho,MORPHO,68,1.796824945000086,725708736.6112996,26547456.95290366,-4.8701472,2026-03-17
Pump.fun,PUMP,69,0.0020897690272571033,694005253.7775565,120986148.23675245,0.99139912,2026-03-17
LayerZero,ZRO,70,2.2774030008970905,693928910.23059,79099474.65143147,2.77440725,2026-03-17
XDC Network,XDC,71,0.034192605276767686,681741932.1489341,22385606.81521149,4.25525725,2026-03-17
Arbitrum,ARB,72,0.10863081106115269,656219626.3491442,82088709.41596842,0.98785386,2026-03-17
VeChain,VET,73,0.007622044621932627,655381820.6698083,21867051.04060468,0.05656837,2026-03-17
Nexo,NEXO,74,0.9236800671729565,596832032.5018711,7163373.65509357,0.65696109,2026-03-17
Stable,STABLE,75,0.028310754305481814,593163234.8641969,27255983.73662539,2.72143678,2026-03-17
Jupiter,JUP,76,0.16705619341581265,584256236.1580644,29307464.28614473,-0.24992903,2026-03-17
Bonk,BONK,77,6.502863031825806e-06,572217850.0515273,87072485.4080297,-0.50895814,2026-03-17
Artificial Superintelligence Alliance,FET,78,0.2336419584796751,528052042.4744982,338746334.86097956,3.48370421,2026-03-17
Virtuals Protocol,VIRTUAL,79,0.7816679265762363,513010200.35840154,111485228.63986672,0.4841111,2026-03-17
TrueUSD,TUSD,80,1.0000695841560074,494549493.4146835,16777758.53782312,0.05283731,2026-03-17
JUST,JST,81,0.056011092197677304,493743831.9789977,27625629.75341161,0.58904673,2026-03-17
PancakeSwap,CAKE,82,1.4914703984263655,491415246.6909563,49125931.40459673,-0.61487733,2026-03-17
Pudgy Penguins,PENGU,83,0.007748322684674462,487062632.99207884,123850254.58745654,-2.03756172,2026-03-17
Stacks,STX,84,0.2639048952659937,478883350.4814772,19255949.15672371,1.98704662,2026-03-17
Sei,SEI,85,0.06895903320573242,472675862.02064407,44702068.43175646,0.74175624,2026-03-17
Decred,DCR,86,26.797888048934073,464299150.9166951,4024628.86230314,-1.55687345,2026-03-17
DeXe,DEXE,87,5.436288823861596,455200477.7433351,13742134.62456675,5.24013796,2026-03-17
ether.fi,ETHFI,88,0.5759191198338766,454264628.5860977,33747402.4743776,0.38105792,2026-03-17
EURC,EURC,89,1.1532115533957004,449946535.9868777,63151785.63739087,0.37237149,2026-03-17
Dash,DASH,90,35.15805141215152,443993926.4986531,117628422.15924115,2.14588425,2026-03-17
River,RIVER,91,22.252841446926045,436155692.35975045,62661209.5636921,-3.99200368,2026-03-17
Tezos,XTZ,92,0.39827082818550613,429633415.2871868,15592012.18991687,1.29820331,2026-03-17
Chiliz,CHZ,93,0.038823641620042655,401223481.98511904,43359734.29957322,-1.23312892,2026-03-17
Gnosis,GNO,94,144.91224085248433,382466020.13711846,2815783.90345968,3.30678323,2026-03-17
First Digital USD,FDUSD,95,1.0001737724977566,381230579.15369844,456828028.62010026,-0.00410708,2026-03-17
Curve DAO Token,CRV,96,0.253351315756028,373701621.6077581,67759863.0256874,1.96836814,2026-03-17
